"Name,""Description"",""DataType"",""Default"",""Value"",""Compliance"""
"DisconnectClientsWhenLogonHoursExpire,""Microsoft network server: Disconnect clients when logon hours expire"",""Integer"",""1"",""1"",""@{Status=Compliant"; Reason=1 is equal to 1;" Severity=Critical}"""
"DnsClientTurn_Off_Multicast,""Turn off multicast name resolution"",""Integer"",""0"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 0;" Severity=Warning}"""
"DoNotAllowAnonymousEnumerationOfSAMAccounts,""Network access: Do not allow anonymous enumeration of SAM accounts"",""Integer"",""1"",""1"",""@{Status=Compliant"; Reason=1 is equal to 1;" Severity=Critical}"""
"DoNotAllowAnonymousEnumerationOfSamAccountsAndShares,""Network access: Do not allow anonymous enumeration of SAM accounts and shares"",""Integer"",""1"",""0"",""@{Status=NotCompliant"; Reason=0 is not equal to 1;" Severity=Critical}"""
"DoNotDisplayLastSignedIn,""Interactive logon: Do not display last user name"",""Integer"",""1"",""0"",""@{Status=NotCompliant"; Reason=0 is not equal to 1;" Severity=Critical}"""
"DoNotRequireCTRLALTDEL,""Interactive logon: Do not require CTRL+ALT+DEL"",""Integer"",""0"",""0"",""@{Status=Compliant"; Reason=0 is equal to 0;" Severity=Critical}"""
"EnableGuestAccountStatus,""Accounts: Guest account status"",""Integer"",""0"",""0"",""@{Status=Compliant"; Reason=0 is equal to 0;" Severity=Critical}"""
"EnableStructuredExceptionHandlingOverwriteProtection,""Enable Structured Exception Handling Overwrite Protection (SEHOP)"",""Integer"",""0"",""0"",""@{Status=Compliant"; Reason=0 is equal to 0;" Severity=Critical}"""
"EventLogChannelSecurityLogRetention,""Security: Control Event Log behavior when the log file reaches its maximum size"",""String"",""0"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Critical}"""
"EventLogChannelSetupLogMaxSize,""Setup: Specify the maximum log file size (KB)"",""Integer"",""32768"",,""@{Status=NotCompliant"; Reason=(null) is not a number;" Severity=Critical}"""
"EventLogChannelSetupLogRetention,""Setup: Control Event Log behavior when the log file reaches its maximum size"",""String"",""0"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Critical}"""
"EventLogChannelSystemLogRetention,""System: Control Event Log behavior when the log file reaches its maximum size"",""String"",""0"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Critical}"""
"EventLogPercentageThresholdSecurityEventLogMaximumSizeReached,""MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning"",""Integer"",""90"",,""@{Status=NotCompliant"; Reason=(null) is not a number;" Severity=Informational}"""
"EventLogServiceControlEventLogBehavior,""Application: Control Event Log behavior when the log file reaches its maximum size"",""String"",""0"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Critical}"""
"EventLogServiceSpecifyMaximumFileSizeApplicationLog,""Application: Specify the maximum log file size (KB)"",""Integer"",""32768"",,""@{Status=NotCompliant"; Reason=(null) is not a number;" Severity=Critical}"""
"EventLogServiceSpecifyMaximumFileSizeSecurityLog,""Security: Specify the maximum log file size (KB)"",""Integer"",""196608"",,""@{Status=NotCompliant"; Reason=(null) is not a number;" Severity=Critical}"""
"EventLogServiceSpecifyMaximumFileSizeSystemLog,""System: Specify the maximum log file size (KB)"",""Integer"",""32768"",,""@{Status=NotCompliant"; Reason=(null) is not a number;" Severity=Critical}"""
"ExperienceAllowWindowsConsumerFeatures,""Turn off Microsoft consumer experiences"",""Integer"",""1"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Warning}"""
"ExperienceDisableConsumerAccountStateContent,""Turn off cloud consumer account state content"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"ExperienceDoNotShowFeedbackNotifications,""Do not show feedback notifications"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Critical}"""
"FileExplorerTurnOffHeapTerminationOnCorruption,""Turn off heap termination on corruption"",""Integer"",""0"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Critical}"""
"FirewallDomainProfileApplyLocalConnectionSecurityRules,""Windows Firewall: Domain: Settings: Apply local connection security rules"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Critical}"""
"FirewallDomainProfileApplyLocalFirewallRules,""Windows Firewall: Domain: Settings: Apply local firewall rules"",""Integer"",""1"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Critical}"""
"FirewallDomainProfileDisplayNotification,""Windows Firewall: Domain: Settings: Display a notification"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"FirewallDomainProfileInboundConnection,""Windows Firewall: Domain: Inbound connections"",""Integer"",,,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Critical}"""
"FirewallDomainProfileLogDroppedPackets,""Windows Firewall: Domain: Logging: Log dropped packets"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Informational}"""
"FirewallDomainProfileLogFileMaxSize,""Windows Firewall: Domain: Logging: Size limit (KB)"",""Integer"",""16384"",,""@{Status=NotCompliant"; Reason=(null) is not a number;" Severity=Warning}"""
"FirewallDomainProfileLogFileName,""Windows Firewall: Domain: Logging: Name"",""String"",""%SystemRoot%\\System32\\logfiles\\firewall\\domainfw.log"",,""@{Status=NotCompliant";" Reason=(null) is not equal to """"%SystemRoot%\\\\System32\\\\logfiles\\\\firewall\\\\domainfw.log""""";" Severity=Informational}"""
"FirewallDomainProfileLogSuccessfulConnections,""Windows Firewall: Domain: Logging: Log successful connections"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"FirewallDomainProfileOutboundConnection,""Windows Firewall: Domain: Outbound connections"",""Integer"",""0"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 0;" Severity=Critical}"""
"FirewallDomainProfileState,""Windows Firewall: Domain: Firewall state"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Critical}"""
"FirewallDomainProfileUnicastResponse,""Windows Firewall: Domain: Allow unicast response"",""Integer"",""0"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 0;" Severity=Warning}"""
"FirewallPrivateProfileApplyLocalConnectionSecurityRules,""Windows Firewall: Private: Settings: Apply local connection security rules"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Critical}"""
"FirewallPrivateProfileApplyLocalFirewallRules,""Windows Firewall: Private: Settings: Apply local firewall rules"",""Integer"",""1"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Critical}"""
"FirewallPrivateProfileDisplayNotification,""Windows Firewall: Private: Settings: Display a notification"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"FirewallPrivateProfileInboundConnection,""Windows Firewall: Private: Inbound connections"",""Integer"",,,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Critical}"""
"FirewallPrivateProfileLogDroppedPackets,""Windows Firewall: Private: Logging: Log dropped packets"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Informational}"""
"FirewallPrivateProfileLogFileMaxSize,""Windows Firewall: Private: Logging: Size limit (KB)"",""Integer"",""16384"",,""@{Status=NotCompliant"; Reason=(null) is not a number;" Severity=Warning}"""
"FirewallPrivateProfileLogFileName,""Windows Firewall: Private: Logging: Name"",""String"",""%SystemRoot%\\System32\\logfiles\\firewall\\privatefw.log"",,""@{Status=NotCompliant";" Reason=(null) is not equal to """"%SystemRoot%\\\\System32\\\\logfiles\\\\firewall\\\\privatefw.log""""";" Severity=Informational}"""
"FirewallPrivateProfileLogSuccessfulConnections,""Windows Firewall: Private: Logging: Log successful connections"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"FirewallPrivateProfileOutboundConnection,""Windows Firewall: Private: Outbound connections"",""Integer"",""0"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 0;" Severity=Critical}"""
"FirewallPrivateProfileState,""Windows Firewall: Private: Firewall state"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Critical}"""
"FirewallPrivateProfileUnicastResponse,""Windows Firewall: Private: Allow unicast response"",""Integer"",""0"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 0;" Severity=Warning}"""
"FirewallPublicProfileApplyLocalConnectionSecurityRules,""Windows Firewall: Public: Settings: Apply local connection security rules"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Critical}"""
"FirewallPublicProfileApplyLocalFirewallRules,""Windows Firewall: Public: Settings: Apply local firewall rules"",""Integer"",""1"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Critical}"""
"FirewallPublicProfileDisplayNotification,""Windows Firewall: Public: Settings: Display a notification"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"FirewallPublicProfileInboundConnection,""Windows Firewall: Public: Inbound connections"",""Integer"",,,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Critical}"""
"FirewallPublicProfileLogDroppedPackets,""Windows Firewall: Public: Logging: Log dropped packets"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Informational}"""
"FirewallPublicProfileLogFileMaxSize,""Windows Firewall: Public: Logging: Size limit (KB)"",""Integer"",""16384"",,""@{Status=NotCompliant"; Reason=(null) is not a number;" Severity=Informational}"""
"FirewallPublicProfileLogFileName,""Windows Firewall: Public: Logging: Name"",""String"",""%SystemRoot%\\System32\\logfiles\\firewall\\publicfw.log"",,""@{Status=NotCompliant";" Reason=(null) is not equal to """"%SystemRoot%\\\\System32\\\\logfiles\\\\firewall\\\\publicfw.log""""";" Severity=Informational}"""
"FirewallPublicProfileLogSuccessfulConnections,""Windows Firewall: Public: Logging: Log successful connections"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"FirewallPublicProfileOutboundConnection,""Windows Firewall: Public: Outbound connections"",""Integer"",""0"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 0;" Severity=Critical}"""
"FirewallPublicProfileState,""Windows Firewall: Public: Firewall state"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Critical}"""
"FirewallPublicProfileUnicastResponse,""Windows Firewall: Public: Allow unicast response"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"ForceAuditPolicySubcategorySettingsToOverrideAuditPolicyCategorySettings,""Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings"",""Integer"",""1"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Critical}"""
"GroupPolicyDisableBackgroundPolicy,""Turn off background refresh of Group Policy"",""Integer"",""0"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Warning}"""
"GroupPolicyEnableCDP,""Ensure 'Continue experiences on this device' is set to 'Disabled'"",""Integer"",""0"",,""@{Status=Compliant"; Reason=(null) is equal to (null);" Severity=Warning}"""
"GroupPolicyNoBackgroundPolicy,""Ensure 'Configure registry policy processing: Do not apply during periodic background processing' is set to 'Enabled: FALSE'"",""Integer"",""0"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 0;" Severity=Critical}"""
"GroupPolicyNoGPOListChanges,""Ensure 'Configure registry policy processing: Process even if the Group Policy objects have not changed' is set to 'Enabled: TRUE'"",""Integer"",""0"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 0;" Severity=Critical}"""
"ICMNC_ExitOnISP,""Turn off Internet Connection Wizard if URL connection is referring to Microsoft.com"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"IPSourceRoutingProtectionLevel,""MSS: (DisableIPSourceRouting) IP source routing protection level (protects against packet spoofing)"",""Integer"",""2"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 2;" Severity=Informational}"""
"IPv6SourceRoutingProtectionLevel,""MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing)"",""Integer"",""2"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 2;" Severity=Informational}"""
"LANManagerAuthenticationLevel,""Network security: LAN Manager authentication level"",""Integer"",""5"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 5;" Severity=Critical}"""
"LanmanWorkstationEnableInsecureGuestLogons,""Enable insecure guest logons"",""Integer"",""0"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 0;" Severity=Critical}"""
"LDAPClientSigningRequirements,""Network security: LDAP client signing requirements"",""Integer"",""1"",""1"",""@{Status=Compliant"; Reason=1 is within the allowed range: 1 to 2;" Severity=Critical}"""
"LetEveryonePermissionsApplyToAnonymousUsers,""Network access: Let Everyone permissions apply to anonymous users"",""Integer"",""0"",""0"",""@{Status=Compliant"; Reason=0 is equal to 0;" Severity=Critical}"""
"LimitLocalAccountUseOfBlankPasswordsToConsoleLogonOnly,""Accounts: Limit local account use of blank passwords to console logon only"",""Integer"",""1"",""1"",""@{Status=Compliant"; Reason=1 is equal to 1;" Severity=Critical}"""
"LogonBlockUserFromShowingAccountDetailsOnSignin,""Block user from showing account details on sign-in"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"LogonDontEnumerateConnectedUsers,""Do not enumerate connected users on domain-joined computers"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Warning}"""
"LsaFIPSAlgorithmPolicySTE,""Windows Server must be configured to use FIPS-compliant algorithms for encryption, hashing, and signing. (STE)"",""Integer"",""1"",,""@{Status=NotCompliant"; Reason=(null) is not equal to 1;" Severity=Important}"""
"LsaNoLMHash,""Network security: Do not store LAN Manager hash value on next password change"",""Integer"",""1"",""1"",""@{Status=Compliant"; Reason=1 is equal to 1;" Severity=Critical}"""
"MachineInactivityLimit,""Interactive logon: Machine inactivity limit"",""Integer"",""900"",,""@{Status=NotCompliant"; Reason=(null) is not a number;" Severity=Important}"""
"MaximumMachineAccountPasswordAge,""Ensure 'Domain member: Maximum machine account password age' is set to '30 or fewer days, but not 0'"",""Integer"",""30"",""30"",""@{Status=Compliant"; Reason=30 is within the allowed range: 1 to 30;" Severity=Critical}"""
